Country ,Population,GDP,Climate,Industrial,Solar,Hour 0,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22 ,Hour 23
Bangladesh,1.74E+08,4.50E+11,Tropical,22,1,0.996646482,1.027433698,1.058350182,0.987850135,0.976465359,0.979167666,0.886144291,0.849429235,0.843679908,0.871712495,0.88005025,0.902450466,0.905202018,0.913533618,0.921809817,0.975184995,1.028560173,0.997483643,0.98328576,1.183059491,1.244938625,1.275744308,1.199608812,1.112208574
Bhutan,7.92E+05,3.01E+09,Temperate,8,0,0.987676796,0.944799938,0.946404826,0.94609343,0.940416438,0.944320867,0.975460485,1.00233637,1.008540339,1.004779632,0.999078687,0.990742851,0.993880766,0.989736801,1.002480091,1.004803585,1.01059795,1.023729287,1.048343956,1.059879987,1.082216674,1.069971618,1.025226384,0.998482243
Cambodia,1.76E+07,4.64E+10,Tropical,28,7,0.801679718,0.774405069,0.754876117,0.74696126,0.762279045,0.800842827,0.905231685,1.063853781,1.141146052,1.187451079,1.102083697,1.02445756,1.113355022,1.179024294,1.182727984,1.136084639,1.089436842,1.166733564,1.166564405,1.116039307,1.053909018,0.984033031,0.898670099,0.848153905
Cayman Islands,7.45E+04,7.24E+09,Tropical,1,3,0.874460169,0.849550984,0.82052545,0.795616265,0.778939776,0.766485184,0.779678608,0.867177399,0.925861751,0.963647718,0.991617778,1.020432217,1.039852937,1.067928544,1.099909405,1.132734645,1.16819857,1.17347594,1.173687034,1.190785712,1.199968336,1.169887328,1.118274652,1.031303598
China,1.41E+09,1.87E+13,Diverse ,25,8,0.699314692,0.630883898,0.547446351,0.487419339,0.44660097,0.408783953,0.364363964,0.29833425,0.342754239,0.800760342,0.977840028,1.099094593,1.23295483,1.403431544,1.311590216,1.249762393,1.249162123,1.361412636,1.508478815,1.634535541,1.700565254,1.714371467,1.43224451,1.097894052
Dominican Republic,1.14E+07,1.24E+11,Tropical,12,7,0.844287605,0.816762241,0.796647552,0.800352889,0.785531539,0.820996912,0.84640494,0.914689016,1.031671813,1.042258491,1.087781209,1.06766652,1.041199824,1.036965152,1.104719894,1.086193207,1.103661226,1.0798412,1.157653286,1.186766652,1.192059991,1.111071901,1.036965152,1.007851787
Fiji,9.29E+05,5.97E+09,Tropical,11,0.87,0.591836735,0.569653949,0.557231588,0.551020408,0.550133097,0.574977817,0.587400177,0.998225377,1.215616681,1.324755989,1.344276841,1.357586513,1.405501331,1.375332742,1.396628217,1.328305235,1.157941437,1.066548358,1.118012422,1.184560781,1.055900621,0.99378882,0.909494232,0.78527063
Haiti,1.18E+07,2.52E+10,Tropical,26,0,0.597824012,0.568844038,0.530104484,0.518851092,0.525423869,0.597027312,0.753977277,1.295036391,1.329892031,1.391935069,1.42350432,1.361560869,1.033519507,1.422807207,1.411255052,1.421014631,1.348116551,1.144061678,0.922081048,0.995576653,0.984821199,0.94468742,0.813530627,0.664547665
India,1.45E+09,3.91E+12,Diverse ,13,7,1.026132446,1.007402182,0.9822785,0.953777667,0.940621038,0.937332994,0.934044951,0.931852922,0.929656437,0.958161725,1.00639973,1.015167846,1.028324475,1.023940417,1.052445705,1.080946538,1.06340585,1.039289076,1.010783788,0.988854587,0.997627158,1.015167846,1.034905018,1.041481105
Iran,9.16E+07,4.75E+11,Arid,21,0.23,0.989665916,0.900963815,0.878941397,0.869973514,0.857285189,0.818601097,0.854330636,0.884347082,0.923690451,0.953746578,0.998663917,1.032413714,1.057015391,1.068443011,1.079897403,1.078343633,1.074843109,1.019483957,0.984466762,1.027524358,1.18787916,1.203133835,1.140214277,1.116131798
