Country,Latitude,Longitude,UTC_Offset_h,Hour_00_Local_AC_W,Hour_01_Local_AC_W,Hour_02_Local_AC_W,Hour_03_Local_AC_W,Hour_04_Local_AC_W,Hour_05_Local_AC_W,Hour_06_Local_AC_W,Hour_07_Local_AC_W,Hour_08_Local_AC_W,Hour_09_Local_AC_W,Hour_10_Local_AC_W,Hour_11_Local_AC_W,Hour_12_Local_AC_W,Hour_13_Local_AC_W,Hour_14_Local_AC_W,Hour_15_Local_AC_W,Hour_16_Local_AC_W,Hour_17_Local_AC_W,Hour_18_Local_AC_W,Hour_19_Local_AC_W,Hour_20_Local_AC_W,Hour_21_Local_AC_W,Hour_22_Local_AC_W,Hour_23_Local_AC_W,Daily_Energy_Wh,Peak_AC_W,Peak_Hour_Local
Japan,36.2,138.25,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.74,1259.77,2081.91,2601.33,2889.63,2961.3,2819.45,2457.79,1851.57,899.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19859.35,2961.3,12
Jordan,30.59,36.24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.72,1069.62,1825.01,2323.57,2583.68,2615.19,2419.33,1988.65,1306.89,376.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16634.79,2615.19,12
Kazakhstan,48.02,66.92,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.54,1892.04,2440.9,2703.82,2725.8,2509.2,2021.15,1128.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16309.13,2725.8,12
Kenya,-0.02,37.91,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.46,985.71,1768.0,2375.39,2784.29,2991.0,2996.54,2800.96,2403.15,1806.31,1032.1,192.84,0.0,0.0,0.0,0.0,0.0,22290.74,2996.54,13
Kiribati,-3.37,-168.73,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.03,1166.42,1902.92,2463.03,2825.78,2987.67,2949.31,2710.34,2270.85,1638.69,849.82,83.48,0.0,0.0,0.0,0.0,0.0,22191.37,2987.67,12
Kosovo,42.6,20.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.51,1820.61,2367.63,2646.66,2684.94,2485.58,2030.92,1259.51,99.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16310.33,2684.94,12
Kuwait,29.31,47.48,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93,960.09,1771.7,2322.47,2635.28,2722.01,2585.91,2221.88,1615.93,744.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17605.26,2722.01,12
Kyrgyzstan,41.2,74.77,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.32,1919.06,2518.88,2866.02,2989.39,2896.29,2581.31,2020.27,1104.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19821.42,2989.39,12
Laos,19.86,102.5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.53,908.17,1729.73,2322.85,2692.85,2846.34,2786.83,2512.9,2018.94,1298.01,366.25,0.0,0.0,0.0,0.0,0.0,0.0,19503.4,2846.34,12
Latvia,56.88,24.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.74,1178.93,1495.99,1467.49,1090.18,370.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6107.38,1495.99,12
Lebanon,33.85,35.86,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.58,1279.5,2049.65,2545.33,2804.6,2840.84,2655.77,2240.29,1567.9,557.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18705.78,2840.84,12
Lesotho,-29.61,28.23,2,0.0,0.0,0.0,0.0,0.0,0.0,112.59,701.92,1466.26,2137.94,2646.43,2968.44,3098.21,3035.17,2779.44,2334.05,1714.09,968.14,242.89,0.0,0.0,0.0,0.0,0.0,24205.58,3098.21,12
Liberia,6.43,-9.43,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.7,1524.87,2178.26,2628.79,2872.3,2910.16,2742.78,2368.71,1788.82,1018.86,167.63,0.0,0.0,0.0,0.0,0.0,0.0,20899.89,2910.16,12
Libya,26.34,17.23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.74,1053.88,1845.03,2386.81,2697.23,2786.13,2656.39,2303.82,1717.26,877.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18408.72,2786.13,12
