Country,Latitude,Longitude,UTC_Offset_h,Hour_00_Local_AC_W,Hour_01_Local_AC_W,Hour_02_Local_AC_W,Hour_03_Local_AC_W,Hour_04_Local_AC_W,Hour_05_Local_AC_W,Hour_06_Local_AC_W,Hour_07_Local_AC_W,Hour_08_Local_AC_W,Hour_09_Local_AC_W,Hour_10_Local_AC_W,Hour_11_Local_AC_W,Hour_12_Local_AC_W,Hour_13_Local_AC_W,Hour_14_Local_AC_W,Hour_15_Local_AC_W,Hour_16_Local_AC_W,Hour_17_Local_AC_W,Hour_18_Local_AC_W,Hour_19_Local_AC_W,Hour_20_Local_AC_W,Hour_21_Local_AC_W,Hour_22_Local_AC_W,Hour_23_Local_AC_W,Daily_Energy_Wh,Peak_AC_W,Peak_Hour_Local
Slovakia,48.67,19.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.59,885.07,1548.78,1901.19,1968.51,1756.74,1247.63,435.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9807.61,1968.51,12
Slovenia,46.15,14.99,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.48,1050.92,1796.7,2215.47,2359.89,2245.03,1859.09,1154.71,141.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12883.13,2359.89,12
Solomon Islands,-9.65,160.16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.49,1148.7,1875.09,2437.78,2808.58,2981.94,2957.15,2734.14,2313.9,1706.07,948.95,189.8,0.0,0.0,0.0,0.0,0.0,22462.6,2981.94,12
Somalia,5.15,46.2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.76,1230.22,1933.33,2443.39,2747.7,2845.45,2737.29,2422.53,1902.18,1190.12,360.71,0.0,0.0,0.0,0.0,0.0,0.0,20214.69,2845.45,12
South Africa,-30.56,22.94,2,0.0,0.0,0.0,0.0,0.0,0.0,40.49,441.5,1165.34,1864.26,2426.79,2812.81,3009.64,3014.59,2827.62,2451.14,1896.96,1203.07,475.25,52.51,0.0,0.0,0.0,0.0,23681.97,3014.59,13
South Korea,35.91,127.77,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.34,1501.54,2227.22,2684.64,2909.76,2917.25,2707.85,2267.38,1563.23,453.84,0.0,0.0,0.0,0.0,0.0,0.0,19584.07,2917.25,13
South Sudan,6.88,31.31,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.75,1308.41,2017.5,2526.91,2829.11,2925.07,2815.86,2500.28,1977.55,1256.27,392.55,0.0,0.0,0.0,0.0,0.0,0.0,20998.26,2925.07,12
Spain,40.46,-3.75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.43,1109.5,1860.09,2312.79,2508.61,2461.85,2169.28,1608.1,725.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14856.43,2508.61,12
Sri Lanka,7.87,80.77,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.02,1543.75,2197.57,2646.18,2886.93,2921.69,2750.91,2372.79,1787.38,1008.08,144.04,0.0,0.0,0.0,0.0,0.0,0.0,20969.34,2921.69,12
Sudan,12.86,30.22,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.88,1234.06,1978.45,2511.67,2832.56,2944.49,2849.35,2545.49,2029.49,1301.77,392.83,0.0,0.0,0.0,0.0,0.0,0.0,20938.05,2944.49,12
Suriname,3.92,-56.03,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.05,1304.12,1968.21,2440.24,2707.15,2767.48,2621.39,2268.77,1714.0,982.02,198.01,0.0,0.0,0.0,0.0,0.0,0.0,19480.43,2767.48,12
Sweden,60.13,18.64,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.92,794.79,1337.83,1461.94,1187.16,490.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5319.57,1461.94,12
Switzerland,46.82,8.23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.35,2000.58,2508.36,2745.52,2747.19,2513.55,2010.37,1111.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16730.57,2747.19,13
Syria,34.8,38.6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.73,1246.62,1986.68,2453.18,2678.32,2674.18,2440.55,1964.85,1213.9,173.69,0.0,0.0,0.0,0.0,0.0,0.0,17040.71,2678.32,12
Taiwan,23.7,120.96,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.3,1181.96,1965.88,2508.39,2827.1,2930.8,2822.5,2499.05,1951.54,1162.07,136.99,0.0,0.0,0.0,0.0,0.0,0.0,20142.58,2930.8,12
Tajikistan,38.86,71.28,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,759.57,1815.94,2461.05,2854.4,3025.7,2983.7,2726.35,2239.3,1470.26,153.02,0.0,0.0,0.0,0.0,0.0,0.0,20489.29,3025.7,12
Tanzania,-6.37,34.89,2,0.0,0.0,0.0,0.0,0.0,0.0,101.33,857.74,1640.95,2273.94,2717.48,2962.3,3007.85,2854.36,2501.44,1952.83,1229.62,415.29,0.0,0.0,0.0,0.0,0.0,0.0,22515.14,3007.85,12
Thailand,15.87,100.99,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.81,880.47,1698.2,2302.18,2688.68,2861.59,2823.96,2575.04,2110.95,1428.94,545.07,0.0,0.0,0.0,0.0,0.0,0.0,19938.89,2861.59,12
Timor-Leste,-8.87,125.73,8,0.0,0.0,0.0,0.0,0.0,0.0,151.9,901.19,1664.54,2281.48,2711.35,2943.81,2977.73,2813.17,2450.31,1894.89,1173.05,381.34,0.0,0.0,0.0,0.0,0.0,0.0,22344.76,2977.73,12
Togo,8.62,0.82,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.22,1018.89,1730.69,2254.52,2570.44,2675.81,2570.91,2255.45,1732.03,1020.52,232.59,0.0,0.0,0.0,0.0,0.0,0.0,18293.08,2675.81,12
Tonga,-21.18,-175.2,-12,0.0,0.0,0.0,0.0,0.0,0.0,237.49,947.55,1683.63,2292.38,2724.75,2965.78,3011.83,2863.85,2522.28,1994.68,1309.55,554.68,30.69,0.0,0.0,0.0,0.0,0.0,23139.13,3011.83,12
Trinidad and Tobago,10.69,-61.22,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.67,1184.06,1939.24,2488.72,2827.98,2959.45,2885.07,2603.66,2112.4,1412.7,530.34,0.0,0.0,0.0,0.0,0.0,0.0,21220.28,2959.45,12
Tunisia,33.89,9.54,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.68,1095.17,1817.01,2276.43,2492.14,2473.44,2219.54,1719.51,954.29,59.59,0.0,0.0,0.0,0.0,0.0,0.0,15276.81,2492.14,12
Turkey,38.96,35.24,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.89,1315.72,2118.9,2617.58,2881.23,2925.7,2753.27,2354.58,1693.91,599.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19314.18,2925.7,12
Turkmenistan,38.97,59.56,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.44,1779.89,2399.81,2759.93,2889.83,2797.44,2477.21,1904.95,990.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18784.37,2889.83,12
Tuvalu,-7.11,177.64,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.37,1287.33,1999.13,2534.79,2874.76,3014.97,2957.19,2700.42,2245.51,1602.9,815.46,77.86,0.0,0.0,0.0,0.0,0.0,22585.68,3014.97,12
Uganda,1.37,32.29,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.49,1490.73,2171.69,2657.43,2940.46,3021.42,2901.13,2578.44,2053.46,1336.94,482.68,0.0,0.0,0.0,0.0,0.0,0.0,22287.86,3021.42,12
Ukraine,48.38,31.17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.06,1205.81,1953.0,2352.9,2476.84,2341.11,1927.83,1162.08,56.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13563.0,2476.84,12
United Arab Emirates,23.42,53.85,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.8,1384.98,2053.48,2489.47,2701.02,2693.31,2466.14,2014.01,1328.85,426.61,0.0,0.0,0.0,0.0,0.0,0.0,18051.66,2701.02,12
United Kingdom,55.38,-3.44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.66,953.33,1580.86,1837.92,1769.11,1362.03,564.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8142.25,1837.92,12
United States,37.09,-95.71,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.91,1344.38,2081.68,2537.44,2751.78,2737.91,2495.05,2007.86,1230.5,114.76,0.0,0.0,0.0,0.0,0.0,0.0,17543.28,2751.78,12
Uruguay,-32.52,-55.77,-4,0.0,0.0,0.0,0.0,0.0,8.91,286.48,1029.0,1770.89,2381.48,2816.24,3061.37,3114.25,2974.75,2643.5,2126.56,1448.09,679.89,113.44,0.0,0.0,0.0,0.0,0.0,24454.85,3114.25,12
Uzbekistan,41.38,64.59,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.56,1947.46,2491.67,2779.4,2835.71,2664.54,2253.09,1554.55,392.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17972.06,2835.71,12
Vanuatu,-15.38,166.96,11,0.0,0.0,0.0,0.0,0.0,0.0,95.26,782.7,1554.15,2203.61,2675.68,2954.08,3036.72,2923.21,2613.63,2111.96,1437.82,658.35,38.3,0.0,0.0,0.0,0.0,0.0,23085.47,3036.72,12
Vatican City,41.9,12.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.32,1203.71,1941.88,2375.81,2552.37,2486.05,2171.67,1580.17,638.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15093.69,2552.37,12
Venezuela,6.42,-66.59,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.55,817.25,1612.49,2229.53,2642.56,2848.15,2847.45,2640.44,2225.96,1607.49,811.16,38.39,0.0,0.0,0.0,0.0,0.0,20362.41,2848.15,12
Vietnam,14.06,108.28,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.44,1332.72,2040.89,2535.01,2815.33,2885.28,2746.12,2395.5,1830.21,1053.66,150.97,0.0,0.0,0.0,0.0,0.0,0.0,20225.14,2885.28,12
Yemen,15.55,48.52,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.34,1317.13,2028.4,2522.64,2801.43,2868.68,2725.66,2369.8,1797.24,1010.02,108.84,0.0,0.0,0.0,0.0,0.0,0.0,19966.16,2868.68,12
Zambia,-13.13,27.85,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.96,1237.06,1921.24,2444.4,2778.52,2916.33,2856.81,2600.25,2150.32,1524.11,778.23,106.29,0.0,0.0,0.0,0.0,0.0,21795.54,2916.33,12
Zimbabwe,-19.02,29.15,2,0.0,0.0,0.0,0.0,0.0,0.0,36.23,578.1,1300.33,1952.74,2450.09,2762.74,2881.99,2806.26,2536.42,2078.75,1456.26,736.55,114.69,0.0,0.0,0.0,0.0,0.0,21691.17,2881.99,12
